"","query","Gene_Name","Description","def_short","source","perc_ident","Heatmap_Label","CellularComponent","MolecularFunction","Heatmap_Label_short","baseMean","log2FoldChange","lfcSE","pvalue","padj","pathway"
"1","Pocillopora_acuta_HIv2___RNAseq.18045_t","Nkx2.2a1","Homeobox protein Nkx-2.2a","Hox Nkx-2.2a","He_etal_2023",42.562,"Hox Nkx-2.2","chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","Hox Nkx-2.2",1074.82380548265,-0.817424228855296,1.36380430678132,0.00502951784366142,0.0233837820928058,"HOX"
"2","Pocillopora_acuta_HIv2___RNAseq.g12537.t1","B-H1","Homeobox protein B-H1","Hox B-H1","He_etal_2023",NA,"Hox B-H1",NA,NA,NA,271.669177052339,-0.0920277621364955,1.00985866278329,0.0159752400831499,0.0616124220937342,"HOX"
"3","Pocillopora_acuta_HIv2___RNAseq.g15510.t1","FoxA","Forkhead box protein A2; oral marker DuBuc2018","Forkhead box protein A2; FoxA","He_etal_2023; DuBuc_etal_2018",NA,"Forkhead box protein A2; FoxA",NA,NA,NA,230.215674423879,-1.62043079950008,1.91354366315888,0.0115803424388597,0.0470764679695523,"HOX"
"4","Pocillopora_acuta_HIv2___RNAseq.g1763.t1","Alx4","Homeobox protein aristaless-like 4","Hox aristaless-like 4","He_etal_2023",80.263,"Hox aristaless-like 4","nucleus [GO:0005634]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]","Hox aristaless-like 4",844.616833144935,-3.10216196934266,1.79257152161673,0.000217789574298929,0.00160555983825674,"HOX"
"5","Pocillopora_acuta_HIv2___RNAseq.g19747.t1","Wntless","Protein wntless homolog B","Protein wntless homolog B","He_etal_2023",46.196,"Wntless homolog","cytoplasmic vesicle membrane [GO:0030659]; endomembrane system [GO:0012505]; Golgi membrane [GO:0000139]; organelle membrane [GO:0031090]","Wnt-protein binding [GO:0017147]","Wntless homolog",56.0259950999161,0.0343709297262764,0.999900183633927,0.846191153604569,0.938813288773222,"WNT"
"6","Pocillopora_acuta_HIv2___RNAseq.g22865.t1","Wnt4a","Protein Wnt-4a","Protein Wnt-4a","He_etal_2023",37.705,"Wnt-5a","cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]","chemoattractant activity involved in axon guidance [GO:1902379]; cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; phospholipid binding [GO:0005543]; protein domain specific binding [GO:0019904]; receptor ligand activity [GO:0048018]; receptor tyrosine kinase-like orphan receptor binding [GO:0005115]","Wnt-5a",345.756596151735,-0.0123105514125568,0.936808036595453,0.919173595030666,0.969785279973668,"WNT"
"7","Pocillopora_acuta_HIv2___RNAseq.g24142.t1","Anthox1","Homeobox protein Anthox1","Hox Anthox1","He_etal_2023",46.341,"Pancreas/duodenum Hox 1","nucleus [GO:0005634]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","Pancreas/duodenum Hox 1",677.599003979166,0.305878979982086,1.0048427988293,0.145333287076353,0.341416382048461,"HOX"
"8","Pocillopora_acuta_HIv2___RNAseq.g2565.t1","Sfrp1/5","aboral marker DuBuc2018","Sfrp1/5","DuBuc_etal_2018",27.941,"Secreted frizzled-related protein 5","extracellular space [GO:0005615]","Wnt-protein binding [GO:0017147]","Secreted frizzled-related
protein 5",1916.73678394501,-1.68975604321916,2.13213812421955,0.00619178527650284,0.0279170767578981,"WNT"
"9","Pocillopora_acuta_HIv2___RNAseq.g26215.t1","Anthox8a; Anthox8b","Homeobox protein Anthox8a; Homeobox protein Anthox8b","Hox Anthox8a; Hox Anthox8b","He_etal_2023",58.696,"Hox Hox-B4","nucleoplasm [GO:0005654]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","Hox Hox-B4",665.035922758378,-0.413135415489282,1.09347568240306,0.0585571648387687,0.175975655979213,"HOX"
"10","Pocillopora_acuta_HIv2___RNAseq.g28055.t2a","Wnt5","Protein Wnt-5a","Protein Wnt-5a","He_etal_2023",44.722,"Wnt-5b","extracellular space [GO:0005615]","cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; signaling receptor binding [GO:0005102]","Wnt-5b",117.153395787633,0.124166040252163,0.979638820724806,0.531054492930372,0.751729515144343,"WNT"
