"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","Pdam_gene","List"
"1","Pocillopora_acuta_HIv2___RNAseq.g7894.t1",1242.35160979218,-0.104912898667886,0.789077054006716,0.790696154324537,0.911581851260126,"XP_027035546.1","gastrodermis"
"2","Pocillopora_acuta_HIv2___TS.g3701.t1b",1802.07824123176,-1.02019197529094,1.19322063973739,0.0544316467154511,0.165642612685101,"XP_027035595.1","immune"
"3","Pocillopora_acuta_HIv2___TS.g18589.t1",26612.9571813134,-0.0485055967552952,0.484523524961097,0.901465701526985,0.962645303825561,"XP_027035612.1","calicoblast"
"4","Pocillopora_acuta_HIv2___RNAseq.g30597.t1",3276.75825242728,0.155194830575637,0.747270614731818,0.740774971290834,0.885080892510422,"XP_027035615.1","calicoblast"
"5","Pocillopora_acuta_HIv2___RNAseq.g30586.t1",11155.9105007736,0.0964904271889304,0.608434275202685,0.852876934019781,0.942039860531662,"XP_027035617.1","calicoblast"
"6","Pocillopora_acuta_HIv2___RNAseq.g30590.t1",495.629564149928,-0.35832770771252,1.0737728449616,4.75787501767175e-06,6.02608618700562e-05,"XP_027035619.1","cnidocyte"
"7","Pocillopora_acuta_HIv2___RNAseq.g30590.t1",495.629564149928,-0.35832770771252,1.0737728449616,4.75787501767175e-06,6.02608618700562e-05,"XP_027035620.1","cnidocyte"
"8","Pocillopora_acuta_HIv2___RNAseq.g30596.t1",3380.50433137246,1.42316486421614,0.762133229862632,0.0107811687730595,0.0443259878151032,"XP_027035643.1","gastrodermis_symbiont_containing"
"9","Pocillopora_acuta_HIv2___TS.g27350.t1c",2011.76581487896,-0.14872679522793,0.574233626696359,0.740848863676339,0.885080892510422,"XP_027035672.1","immune"
"10","Pocillopora_acuta_HIv2___RNAseq.g6836.t1",25.2147696725998,-7.73103171180336,4.08316733363929,0.000605554579239189,0.0038466145955712,"XP_027035674.1","immune"
