"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","Mcap_gene","List"
"1","Pocillopora_acuta_HIv2___RNAseq.g28838.t1",547.567867130558,-0.350838634578712,0.945746291681905,0.315349369381302,0.564576467227523,"Montipora_capitata_HIv3___RNAseq.10187_t","epidermis"
"2","Pocillopora_acuta_HIv2___RNAseq.g26393.t1",555.40944293767,-3.61832480360814,0.981397586401094,1.75402170384818e-06,2.55747680690122e-05,"Montipora_capitata_HIv3___RNAseq.10207_t","gland"
"3","Pocillopora_acuta_HIv2___RNAseq.g3702.t1",406.542982288133,-0.880941273615593,1.44702688447128,0.00385956997666367,0.0187143212009599,"Montipora_capitata_HIv3___RNAseq.10547_t","cnidocyte"
"4","Pocillopora_acuta_HIv2___RNAseq.g27474.t1",523.872812381721,0.203791089180989,0.962277501552079,0.5642664013835,0.775960185359474,"Montipora_capitata_HIv3___RNAseq.11339_t","progenitors"
"5","Pocillopora_acuta_HIv2___TS.g27670.t1",393.956480813893,0.0022252375697564,0.976619580097106,0.975012197553179,0.991913908309692,"Montipora_capitata_HIv3___RNAseq.14638_t","epidermis"
"6","Pocillopora_acuta_HIv2___TS.g15328.t1",2000.65113902902,-0.445626294471181,1.07090740773913,0.0567421246824766,0.171626535216926,"Montipora_capitata_HIv3___RNAseq.14934_t","progenitors"
"7","Pocillopora_acuta_HIv2___RNAseq.g14617.t1",6835.34522038454,-0.25088267541184,0.495823775340189,0.559347272839371,0.773091156650612,"Montipora_capitata_HIv3___RNAseq.15888_t","gland"
"8","Pocillopora_acuta_HIv2___RNAseq.g7029.t1",600.979226053789,0.0306420931622955,0.9837295051301,0.993948320279227,0.997742279444704,"Montipora_capitata_HIv3___RNAseq.17622_t","gland"
"9","Pocillopora_acuta_HIv2___RNAseq.g24859.t1",1577.45364857155,0.397507062453735,0.812161045132504,0.408258432901444,0.654069146041931,"Montipora_capitata_HIv3___RNAseq.18123_t","calicoblast"
"10","Pocillopora_acuta_HIv2___RNAseq.g25069.t1",285.982775640903,-0.148049299142474,0.959328551805791,0.559844325626266,0.773482503186389,"Montipora_capitata_HIv3___RNAseq.18629_t","epidermis"
"11","Pocillopora_acuta_HIv2___TS.g12149.t1",1461.57139100357,0.164462964975658,0.935024489206835,0.589790436310411,0.794813087747487,"Montipora_capitata_HIv3___RNAseq.19098_t","gastrodermis"
"12","Pocillopora_acuta_HIv2___RNAseq.29542_t",369.445399386498,-0.653120903644295,1.26791314116292,1.60905818372648e-05,0.000171846326315761,"Montipora_capitata_HIv3___RNAseq.190_t","neuron"
