"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","Pcomp_gene","List"
"1","Pocillopora_acuta_HIv2___RNAseq.g2221.t1",740.328647264728,-2.86848737869112,1.97372451655802,0.000656916135241909,0.00412576421195786,"Porites_compressa_HIv1___RNAseq.10272_t","gland"
"2","Pocillopora_acuta_HIv2___TS.g20119.t1",11873.5536545694,0.250685325863947,0.531174601761004,0.579034808589735,0.787729051328961,"Porites_compressa_HIv1___RNAseq.10585_t","calicoblast"
"3","Pocillopora_acuta_HIv2___TS.g20196.t1",743.769775938976,-11.7948043173664,3.09537228817559,1.91722098543813e-10,1.00110773766704e-08,"Porites_compressa_HIv1___RNAseq.10692_t","immune"
"4","Pocillopora_acuta_HIv2___RNAseq.g12914.t1",39.5220825239563,-0.876128673853894,0.884048559333345,0.104795257238312,0.270864653447988,"Porites_compressa_HIv1___RNAseq.10891_t","gastrodermis_symbiont_containing"
"5","Pocillopora_acuta_HIv2___RNAseq.g30073.t1",3867.16997035417,-0.208863683422585,0.581592613919468,0.645176826244843,0.829939311170882,"Porites_compressa_HIv1___RNAseq.11230_t","calicoblast"
"6","Pocillopora_acuta_HIv2___TS.g3931.t1a",197.441830515936,-0.0367713393747,0.97574273156604,0.738049247021216,0.88414314302757,"Porites_compressa_HIv1___RNAseq.11257_t","immune"
"7","Pocillopora_acuta_HIv2___RNAseq.g1736.t1",2041.82636713999,0.560748506507491,0.529663363939706,0.213880097048834,0.44269629703983,"Porites_compressa_HIv1___RNAseq.11399_t","gastrodermis"
"8","Pocillopora_acuta_HIv2___RNAseq.g1816.t1",692.05342971448,-0.747468481272564,0.81279239474944,0.136006477779959,0.326668497942432,"Porites_compressa_HIv1___RNAseq.11523_t","gland"
"9","Pocillopora_acuta_HIv2___RNAseq.g1885.t1",621.83904902827,0.047801064388643,0.949237380977608,0.846897623684781,0.939069344689439,"Porites_compressa_HIv1___RNAseq.11598_t","immune"
"10","Pocillopora_acuta_HIv2___RNAseq.g14453.t1",981.655196615604,-0.756511332258709,0.748562703814217,0.137221264064549,0.328821796459515,"Porites_compressa_HIv1___RNAseq.11701_t","gastrodermis_symbiont_containing"
"11","Pocillopora_acuta_HIv2___RNAseq.4105_t",1181.87630462121,0.20209374431205,1.02713102536132,0.146192919789632,0.342545665290335,"Porites_compressa_HIv1___RNAseq.11923_t","gastrodermis"
"12","Pocillopora_acuta_HIv2___RNAseq.g5687.t1",656.934872080837,1.17240392084227,0.85455693871302,0.0510973944817231,0.157752980530127,"Porites_compressa_HIv1___RNAseq.12047_t","digestive filaments"
"13","Pocillopora_acuta_HIv2___TS.g28485.t1",5173.18701209941,-0.684509793056611,0.608760845859292,0.154734031997249,0.355701372982868,"Porites_compressa_HIv1___RNAseq.12816_t","calicoblast"
"14","Pocillopora_acuta_HIv2___RNAseq.g10312.t2b",1358.35315162472,-0.0048688341235705,0.893887071370781,0.949891377431702,0.980673010933058,"Porites_compressa_HIv1___RNAseq.12889_t","immune"
"15","Pocillopora_acuta_HIv2___RNAseq.g10302.t1",406.689822159274,-0.0811715800592693,1.00734612707103,0.073297850955857,0.208046651068775,"Porites_compressa_HIv1___RNAseq.12900_t","cnidocyte"
"16","Pocillopora_acuta_HIv2___RNAseq.g10545.t1",717.699931586956,-1.22467352832964,0.679689042456614,0.0208069266051514,0.0765779609203332,"Porites_compressa_HIv1___RNAseq.14144_t","immune"
"17","Pocillopora_acuta_HIv2___RNAseq.g15194.t1",1150.03254128687,-0.00247612634525076,0.991455913341951,0.935723215922196,0.976255136933338,"Porites_compressa_HIv1___RNAseq.14590_t","calicoblast"
"18","Pocillopora_acuta_HIv2___RNAseq.g15183.t1",1026.68629020101,0.0893297513322456,0.720371695452462,0.858489074778716,0.944575528126927,"Porites_compressa_HIv1___RNAseq.14601_t","neuron"
"19","Pocillopora_acuta_HIv2___RNAseq.1237_t",1071.97903460527,-0.650579111739811,0.790667612477265,0.193243554694853,0.413139372936388,"Porites_compressa_HIv1___RNAseq.14822_t","gastrodermis"
"20","Pocillopora_acuta_HIv2___TS.g11434.t2a",652.642263804388,0.0990049446601504,0.923790511165613,0.694977235432785,0.859599002334514,"Porites_compressa_HIv1___RNAseq.14827_t","cnidocyte"
"21","Pocillopora_acuta_HIv2___RNAseq.7335_t",1155.23121310386,11.6367071335351,3.09222342162807,7.40387077204878e-11,4.42810594423803e-09,"Porites_compressa_HIv1___RNAseq.1501_t","gastrodermis"
"22","Pocillopora_acuta_HIv2___RNAseq.g8573.t1",316.824223465327,-0.506589729880099,1.12245053929339,0.106064636121157,0.272877783147707,"Porites_compressa_HIv1___RNAseq.15398_t","epidermis"
"23","Pocillopora_acuta_HIv2___RNAseq.g8632.t1",65.2108174309961,-0.587277524426028,1.26526214705336,0.00430104619950396,0.0204908867686513,"Porites_compressa_HIv1___RNAseq.15443_t","calicoblast"
"24","Pocillopora_acuta_HIv2___RNAseq.g8374.t1",3426.37994457948,-0.205240964188325,0.608258428360903,0.656073559008027,0.836443187086126,"Porites_compressa_HIv1___RNAseq.16162_t","gastrodermis"
"25","Pocillopora_acuta_HIv2___RNAseq.g6439.t1",849.328724672282,-0.439263404555564,0.522969534025067,0.321850715651964,0.571776684522036,"Porites_compressa_HIv1___RNAseq.17674_t","calicoblast"
"26","Pocillopora_acuta_HIv2___TS.g25104.t1",221.095910073887,-0.425763923751312,1.13333148127671,0.000102707605342173,0.000848527921872331,"Porites_compressa_HIv1___RNAseq.17753_t","calicoblast"
"27","Pocillopora_acuta_HIv2___RNAseq.g256.t2",198.399015922359,-0.0530800576246361,0.976323943425811,0.644114490888524,0.829236492764719,"Porites_compressa_HIv1___RNAseq.18073_t","gastrodermis"
"28","Pocillopora_acuta_HIv2___RNAseq.g29941.t1",26708.5341789636,3.10382735955113,0.830224200267492,4.49162442010028e-06,5.72899961308029e-05,"Porites_compressa_HIv1___RNAseq.1839_t","neuron"
"29","Pocillopora_acuta_HIv2___RNAseq.g8071.t1",690.099228676061,0.743157204310581,0.716143255967371,0.143289502966013,0.338042631039049,"Porites_compressa_HIv1___RNAseq.19012_t","gastrodermis"
"30","Pocillopora_acuta_HIv2___TS.g12201.t1",88.7068619887975,0.143582427594402,0.999368013648012,0.47302804973991,0.710025203620136,"Porites_compressa_HIv1___RNAseq.19428_t","gland"
"31","Pocillopora_acuta_HIv2___RNAseq.g18982.t1",470.704900766149,-13.8779884172653,3.84294728193499,1.52157744764568e-12,1.82838690482379e-10,"Porites_compressa_HIv1___RNAseq.20057_t","gland"
"32","Pocillopora_acuta_HIv2___RNAseq.g6942.t1b",442.049881563247,0.287730190774929,1.02469170889899,0.181297974323148,0.396176748845749,"Porites_compressa_HIv1___RNAseq.20305_t","gastrodermis"
"33","Pocillopora_acuta_HIv2___TS.g20034.t1",212.414663927955,0.0455621352986204,1.01417282857386,0.771587043609662,0.901910053238254,"Porites_compressa_HIv1___RNAseq.20441_t","cnidocyte"
"34","Pocillopora_acuta_HIv2___RNAseq.g26025.t1",491.860957923886,-0.312838309781145,0.951429093341223,0.273825567395542,0.518676402148915,"Porites_compressa_HIv1___RNAseq.2045_t","calicoblast"
"35","Pocillopora_acuta_HIv2___TS.g31220.t1",76.1676212480572,-0.453777849056184,1.14246401450042,0.0173139407748599,0.0659370298492823,"Porites_compressa_HIv1___RNAseq.20525_t","gastrodermis"
