Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
trimmed_V3_LCM_11_S3_PE_report	42125612.0	7025658.0	429.0	57939864.0	235326197.0	50608044.0	99323426.0	28.372250043199283	14.6	15.5	14.8	0.0	0.0	directional	21066876.0	21058307.0	2260333331.0	148474696.0	339224572.0	1286955425.0	290279229.0
trimmed_V3_LCM_12_S4_PE_report	40845730.0	7260300.0	180.0	56764366.0	233145202.0	51565234.0	84653929.0	30.766603355157713	15.0	16.1	16.0	0.0	0.0	directional	20425872.0	20419678.0	2149719123.0	132759959.0	320692777.0	1216382879.0	271168665.0
trimmed_V3_LCM_17_S7_PE_report	55852396.0	8739952.0	453.0	119423590.0	477854538.0	102832918.0	136140542.0	27.824237472992092	22.4	23.3	22.7	0.0	0.0	directional	27920258.0	27931685.0	3036254102.0	200732890.0	413506210.0	1573298635.0	349338211.0
trimmed_V3_LCM_18_S8_PE_report	76905211.0	11907363.0	820.0	164033926.0	655684613.0	145569071.0	122057662.0	36.47039641953073	22.4	23.2	23.4	0.0	0.0	directional	38443092.0	38461299.0	4178825952.0	210870236.0	569658812.0	2168251461.0	475628069.0
trimmed_V3_LCM_1_S1_PE_report	49065637.0	8197268.0	578.0	33352630.0	134906064.0	34983552.0	88211903.0	33.72792696863364	7.1	7.6	8.8	0.0	0.0	directional	24502588.0	24562471.0	2637809116.0	145474808.0	433889180.0	1637007250.0	363670440.0
trimmed_V3_LCM_24_S5_PE_report	104601495.0	18257604.0	1052.0	47383058.0	196222711.0	53815110.0	58043820.0	57.82189451569878	4.9	5.4	6.5	0.0	0.0	directional	52303294.0	52297149.0	5451711460.0	180902919.0	916090366.0	3466727103.0	771473112.0
trimmed_V3_LCM_25_S6_PE_report	72682294.0	12482091.0	695.0	48296483.0	197284100.0	51481589.0	75844690.0	45.141737507652905	7.1	7.6	8.9	0.0	0.0	directional	36307878.0	36373721.0	3841825649.0	161009075.0	629572047.0	2386049346.0	529142084.0
trimmed_V3_LCM_32_S9_PE_report	57397005.0	9501736.0	668.0	108973861.0	459327683.0	93667697.0	136859079.0	28.169228057112118	20.0	21.9	20.1	0.0	0.0	directional	28694929.0	28701408.0	3104994938.0	203757820.0	435527473.0	1635671601.0	371826623.0
trimmed_V3_LCM_33_S10_PE_report	25611259.0	4411203.0	221.0	83944593.0	353753445.0	69626788.0	136990821.0	15.334863515017544	35.2	37.4	34.6	0.0	0.0	directional	12692647.0	12918391.0	1385980302.0	167013283.0	154257858.0	592768315.0	131629303.0
trimmed_V3_LCM_3_S2_PE_report	41317785.0	7003628.0	327.0	112693805.0	455346161.0	95297776.0	76890874.0	32.99818731048336	29.3	30.8	29.1	0.0	0.0	directional	20649591.0	20667867.0	2191562374.0	125212287.0	271638116.0	1024294177.0	232292339.0
