Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
trimmed_V3_LCM_11_S3_pe	26.37800573270974	258	39.99089695449776	14.522028977744885	3.4813343088745885	0.1848462020395656	0.11038495238505126	0	2.0446	100.0	6029934.0	6029934.0	21.790000000000003
trimmed_V3_LCM_12_S4_pe	25.61272072164664	241	48.9184717552508	18.184928467593135	4.5526352024257495	0.1986308501890239	0.1062101984235453	0	2.4535	100.0	7365478.0	7365478.0	21.14
trimmed_V3_LCM_17_S7_pe	26.13256185196244	256	53.08641017680447	21.938087142283408	6.137267957830915	0.223621816481911	0.10996245601757706	1	2.8607	100.0	8223104.0	8223104.0	19.78
trimmed_V3_LCM_18_S8_pe	25.410423871141965	259	66.66868477057152	34.29337276802578	12.255443978360603	0.4038151701197911	0.1352441487963725	3	4.2368	100.0	12088136.0	12088136.0	19.0
trimmed_V3_LCM_1_S1_pe	24.081971938018967	265	49.384544765454436	19.973379838729045	5.417839428817829	0.203133559301862	0.10057519904587633	0	2.6176	100.0	7602156.0	7602156.0	22.05
trimmed_V3_LCM_24_S5_pe	21.696938533449412	264	84.24884018134142	64.13226738389716	39.43544918518134	2.5511236892184908	0.5475944803154338	7	9.1135	100.0	26390392.0	26390392.0	20.84
trimmed_V3_LCM_25_S6_pe	22.83540689892092	263	70.67311856746525	38.99925781226521	15.000037449098311	0.5458917587231551	0.1546228937766197	3	4.7806	100.0	13904340.0	13904340.0	21.12
trimmed_V3_LCM_32_S9_pe	29.52211671367972	235	36.34316128789766	14.889659844476173	4.2129542461122504	0.22953211204337187	0.14768734036342143	0	2.2296	100.0	6547350.0	6547350.0	22.96
trimmed_V3_LCM_33_S10_pe	38.50840248962654	194	14.942377104268875	5.080995688690314	1.2097467075739814	0.19195957131524863	0.1499622077611608	0	1.1533	100.0	3578920.0	3578920.0	27.76
trimmed_V3_LCM_3_S2_pe	28.20784108047221	227	44.65826747480368	15.937687923628841	3.8916377985716313	0.17102922373329185	0.0954310302307687	0	2.191	100.0	6594372.0	6594372.0	18.88
