"","gene_id_spA","cluster","source_sp","protein_id_spA","Standardized_Name_spA","protein_id_spB"
"1","NV2.13863","pSC","Nvec","NV2.13863","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g19335.t1"
"2","NV2.16402","pSC","Nvec","NV2.16402","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16957.t1"
"3","NV2.6608","pSC","Nvec","NV2.6608","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g20402.t1"
"4","NV2.4477","pSC","Nvec","NV2.4477","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g7803.t1"
"5","NV2.4477","pSC","Nvec","NV2.4477","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g7803.t1"
"6","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"7","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"8","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"9","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"10","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"11","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"12","NV2.15516","pSC","Nvec","NV2.15516","stem_cell","Pocillopora_acuta_HIv2___RNAseq.g16983.t1"
"13","NV2.7880","PGCs","Nvec","NV2.7880","germline","Pocillopora_acuta_HIv2___RNAseq.g26396.t1"
"14","NV2.7880","PGCs","Nvec","NV2.7880","germline","Pocillopora_acuta_HIv2___RNAseq.g26395.t1"
"15","NV2.7880","PGCs","Nvec","NV2.7880","germline","Pocillopora_acuta_HIv2___RNAseq.g148.t1"
"16","NV2.7880","PGCs","Nvec","NV2.7880","germline","Pocillopora_acuta_HIv2___RNAseq.g26394.t1"
"17","NV2.7880","PGCs","Nvec","NV2.7880","germline","Pocillopora_acuta_HIv2___TS.g29293.t2b"
"18","NV2.7880","PGCs","Nvec","NV2.7880","germline","Pocillopora_acuta_HIv2___RNAseq.g9558.t1"
