GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"GO:0014049"	"positive regulation of glutamate secretion"	"Any process that activates or increases the frequency, rate or extent of the controlled release of glutamate."	"50% (3/6)"	0.006342996	2.2	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g8004.t1"	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g8004.t1"	"0% (0/6)"	1	0	NA	NA
"GO:0001956"	"positive regulation of neurotransmitter secretion"	"Any process that activates or increases the frequency, rate or extent of the regulated release of a neurotransmitter."	"36.364% (4/11)"	0.005886694	2.23	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c;Pocillopora_acuta_HIv2___RNAseq.g8004.t1"	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c;Pocillopora_acuta_HIv2___RNAseq.g8004.t1"	"9.091% (1/11)"	0.3254271	0.49	NA	NA
"GO:0150099"	"neuron-glial cell signaling"	NA	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.g17965.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g2519.t1;Pocillopora_acuta_HIv2___TS.g305.t1"	"Pocillopora_acuta_HIv2___RNAseq.g17965.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g2519.t1;Pocillopora_acuta_HIv2___TS.g305.t1"	"0% (0/12)"	1	0	NA	NA
"GO:0019226"	"transmission of nerve impulse"	"The neurological system process in which a signal is transmitted through the nervous system by a combination of action potential propagation and synaptic transmission."	"19.512% (8/41)"	0.008018883	2.1	"Pocillopora_acuta_HIv2___RNAseq.g18966.t1;Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___RNAseq.g29275.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___RNAseq.g9609.t1;Pocillopora_acuta_HIv2___TS.g16172.t3;Pocillopora_acuta_HIv2___TS.g21128.t1;Pocillopora_acuta_HIv2___TS.g24662.t1"	"Pocillopora_acuta_HIv2___RNAseq.g18966.t1;Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___RNAseq.g29275.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___RNAseq.g9609.t1;Pocillopora_acuta_HIv2___TS.g16172.t3;Pocillopora_acuta_HIv2___TS.g21128.t1;Pocillopora_acuta_HIv2___TS.g24662.t1"	"0% (0/41)"	1	0	NA	NA
"GO:0010185"	"regulation of cellular defense response"	"Any process that modulates the frequency, rate or extent of cellular defense response."	"66.667% (4/6)"	0.0003585307	3.45	"Pocillopora_acuta_HIv2___RNAseq.g12286.t1;Pocillopora_acuta_HIv2___RNAseq.g12290.t1;Pocillopora_acuta_HIv2___RNAseq.g12292.t1;Pocillopora_acuta_HIv2___TS.g3256.t1"	"Pocillopora_acuta_HIv2___RNAseq.g12286.t1;Pocillopora_acuta_HIv2___RNAseq.g12290.t1;Pocillopora_acuta_HIv2___RNAseq.g12292.t1;Pocillopora_acuta_HIv2___TS.g3256.t1"	"0% (0/6)"	1	0	NA	NA
"GO:0010172"	"embryonic body morphogenesis"	"The process in which the anatomical structures of the embryonic soma are generated and organized."	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g17085.t1;Pocillopora_acuta_HIv2___RNAseq.g17089.t1;Pocillopora_acuta_HIv2___RNAseq.g17090.t1"	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g17085.t1;Pocillopora_acuta_HIv2___RNAseq.g17089.t1;Pocillopora_acuta_HIv2___RNAseq.g17090.t1"	"0% (0/12)"	1	0	NA	NA
"GO:0060384"	"innervation"	"The process in which a nerve invades a tissue and makes functional synaptic connection within the tissue."	"29.412% (5/17)"	0.005748638	2.24	"Pocillopora_acuta_HIv2___RNAseq.g13400.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2263.t1b;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1"	"Pocillopora_acuta_HIv2___RNAseq.g13400.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2263.t1b;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1"	"5.882% (1/17)"	0.4558895	0.34	NA	NA
"GO:1901607"	"alpha-amino acid biosynthetic process"	NA	"16.667% (12/72)"	0.005047808	2.3	"Pocillopora_acuta_HIv2___RNAseq.g10854.t2;Pocillopora_acuta_HIv2___RNAseq.g12417.t1;Pocillopora_acuta_HIv2___RNAseq.g1504.t1;Pocillopora_acuta_HIv2___RNAseq.g16699.t1;Pocillopora_acuta_HIv2___RNAseq.g19367.t1;Pocillopora_acuta_HIv2___RNAseq.g23634.t1;Pocillopora_acuta_HIv2___RNAseq.g28641.t1;Pocillopora_acuta_HIv2___RNAseq.g7498.t1;Pocillopora_acuta_HIv2___TS.g19253.t1;Pocillopora_acuta_HIv2___TS.g3401.t1;Pocillopora_acuta_HIv2___TS.g6241.t1e;Pocillopora_acuta_HIv2___TS.g7609.t1b"	"Pocillopora_acuta_HIv2___RNAseq.g10854.t2;Pocillopora_acuta_HIv2___RNAseq.g12417.t1;Pocillopora_acuta_HIv2___RNAseq.g1504.t1;Pocillopora_acuta_HIv2___RNAseq.g16699.t1;Pocillopora_acuta_HIv2___RNAseq.g19367.t1;Pocillopora_acuta_HIv2___RNAseq.g23634.t1;Pocillopora_acuta_HIv2___RNAseq.g28641.t1;Pocillopora_acuta_HIv2___RNAseq.g7498.t1;Pocillopora_acuta_HIv2___TS.g19253.t1;Pocillopora_acuta_HIv2___TS.g3401.t1;Pocillopora_acuta_HIv2___TS.g6241.t1e;Pocillopora_acuta_HIv2___TS.g7609.t1b"	"1.389% (1/72)"	0.9246207	0.03	NA	NA
"GO:0051932"	"synaptic transmission, GABAergic"	"The vesicular release of gamma-aminobutyric acid (GABA). from a presynapse, across a chemical synapse, the subsequent activation of GABA receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."	"23.684% (9/38)"	0.001226944	2.91	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g13672.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2519.t1;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g28251.t1;Pocillopora_acuta_HIv2___RNAseq.g6468.t1;Pocillopora_acuta_HIv2___TS.g305.t1"	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g13672.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2519.t1;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g28251.t1;Pocillopora_acuta_HIv2___RNAseq.g6468.t1;Pocillopora_acuta_HIv2___TS.g305.t1"	"5.263% (2/38)"	0.3879122	0.41	NA	NA
"GO:0051939"	"gamma-aminobutyric acid import"	"The directed movement of gamma-aminobutyric acid (GABA, 4-aminobutyrate) into a cell or organelle."	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.g1200.t1;Pocillopora_acuta_HIv2___RNAseq.g28251.t1;Pocillopora_acuta_HIv2___TS.g16482.t1;Pocillopora_acuta_HIv2___TS.g16484.t1"	"Pocillopora_acuta_HIv2___RNAseq.g1200.t1;Pocillopora_acuta_HIv2___RNAseq.g28251.t1;Pocillopora_acuta_HIv2___TS.g16482.t1;Pocillopora_acuta_HIv2___TS.g16484.t1"	"16.667% (2/12)"	0.06439582	1.19	NA	NA
