GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol
"GO:0010185"	"regulation of cellular defense response"	"Any process that modulates the frequency, rate or extent of cellular defense response."	"66.667% (4/6)"	0.0004184989	3.38	"Pocillopora_acuta_HIv2___RNAseq.g12286.t1;Pocillopora_acuta_HIv2___RNAseq.g12290.t1;Pocillopora_acuta_HIv2___RNAseq.g12292.t1;Pocillopora_acuta_HIv2___TS.g3256.t1"	"Fucolectin-4;Fucolectin;Fucolectin;Fucolectin-3"
"GO:0010172"	"embryonic body morphogenesis"	"The process in which the anatomical structures of the embryonic soma are generated and organized."	"44.444% (4/9)"	0.002926368	2.53	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g17085.t1;Pocillopora_acuta_HIv2___RNAseq.g17089.t1;Pocillopora_acuta_HIv2___RNAseq.g17090.t1"	"Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2);Peroxidasin homolog pxn-2 (EC 1.11.2.-);Peroxidasin homolog pxn-2 (EC 1.11.2.-);Peroxidasin homolog pxn-2 (EC 1.11.2.-)"
"GO:0007297"	"follicle cell of egg chamber migration"	"The directed movement of an ovarian follicle cell that takes place during oogenesis. During egg chamber formation, follicle cells migrate to envelop the germ-line cysts and move in between cysts. At stage 10B, follicle cells migrate centripetally between the nurse cells and the oocyte, enclosing the anterior of the egg. An example of this is found in Drosophila melanogaster."	"33.333% (4/12)"	0.009584994	2.02	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)"
"GO:0150099"	"neuron-glial cell signaling"	NA	"33.333% (4/12)"	0.009584994	2.02	"Pocillopora_acuta_HIv2___RNAseq.g17965.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g2519.t1;Pocillopora_acuta_HIv2___TS.g305.t1"	"Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor);Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1);Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20);Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)"
"GO:1903352"	"L-ornithine transmembrane transport"	NA	"66.667% (4/6)"	0.0004184989	3.38	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2);High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter);Mitochondrial basic amino acids transporter (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial carnitine/acylcarnitine carrier protein CACL) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29);Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)"
"GO:0060384"	"innervation"	"The process in which a nerve invades a tissue and makes functional synaptic connection within the tissue."	"29.412% (5/17)"	0.006808124	2.17	"Pocillopora_acuta_HIv2___RNAseq.g13400.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2263.t1b;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1"	"Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.-) (ATP-dependent helicase CHD7)"
"GO:1903385"	"regulation of homophilic cell adhesion"	NA	"80% (4/5)"	0.0001483426	3.83	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)"
"GO:0007214"	"gamma-aminobutyric acid signaling pathway"	"The series of molecular signals generated by the binding of gamma-aminobutyric acid (GABA, 4-aminobutyrate), an amino acid which acts as a neurotransmitter in some organisms, to its receptor on the surface of a target cell."	"41.667% (5/12)"	0.001194304	2.92	"Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2519.t1;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___TS.g305.t1"	"Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)"
"GO:0006874"	"intracellular calcium ion homeostasis"	"A homeostatic process involved in the maintenance of a steady state level of calcium ions within a cell."	"14.286% (16/112)"	0.009234384	2.03	"Pocillopora_acuta_HIv2___RNAseq.10010_t;Pocillopora_acuta_HIv2___RNAseq.g10777.t1;Pocillopora_acuta_HIv2___RNAseq.g12898.t1;Pocillopora_acuta_HIv2___RNAseq.g14871.t1;Pocillopora_acuta_HIv2___RNAseq.g18121.t1;Pocillopora_acuta_HIv2___RNAseq.g1838.t1;Pocillopora_acuta_HIv2___RNAseq.g19452.t1;Pocillopora_acuta_HIv2___RNAseq.g24761.t1;Pocillopora_acuta_HIv2___RNAseq.g26672.t1;Pocillopora_acuta_HIv2___RNAseq.g27978.t1;Pocillopora_acuta_HIv2___RNAseq.g28270.t1;Pocillopora_acuta_HIv2___RNAseq.g4919.t1;Pocillopora_acuta_HIv2___RNAseq.g701.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___TS.g14552.t1"	"Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor);MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin);Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4);Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR);Sodium/calcium exchanger NCL2 (Na(+)/Ca(2+)-exchange protein NCL2) (OsEFCAX2) (Protein NCX-like 2) (OsNCL2);m-AAA protease-interacting protein 1, mitochondrial (Matrix AAA peptidase-interacting protein 1);Oxysterol-binding protein-related protein 2 (ORP-2) (OSBP-related protein 2);Annexin A6 (Annexin VI) (Annexin-6);Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7);Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4);Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK);Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin);Polycystin-2 (Polycystic kidney disease 2 protein homolog);Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.-) (ATP-dependent helicase CHD7);Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor);Cadherin-23 (Otocadherin)"
"GO:0009308"	"amine metabolic process"	"The chemical reactions and pathways involving any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom."	"18.644% (11/59)"	0.003987178	2.4	"Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g11785.t1;Pocillopora_acuta_HIv2___RNAseq.g15141.t1;Pocillopora_acuta_HIv2___RNAseq.g20712.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g21957.t1;Pocillopora_acuta_HIv2___RNAseq.g26474.t1a;Pocillopora_acuta_HIv2___RNAseq.g27978.t1;Pocillopora_acuta_HIv2___RNAseq.g28398.t1;Pocillopora_acuta_HIv2___RNAseq.g5488.t1;Pocillopora_acuta_HIv2___TS.g805.t1a"	"Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase);S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain];Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG3 (EC 3.2.2.n1) (Protein LONELY GUY 3);DBH-like monooxygenase protein 2 homolog (EC 1.14.17.-);Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase);DBH-like monooxygenase protein 1 (EC 1.14.17.-) (Monooxygenase X);Ornithine decarboxylase (ODC) (EC 4.1.1.17);Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4);Synphilin-1 (Sph1) (Alpha-synuclein-interacting protein);Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152);Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)"
