GO.cluster	IC	GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"1"	9.11	"GO:0048808"	"male genitalia morphogenesis"	"The process in which the anatomical structures of male genitalia are generated and organized."	"0% (0/7)"	1	0	NA	NA	"42.857% (3/7)"	0.001246142	2.9	"Pocillopora_acuta_HIv2___RNAseq.g2037.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4"	"Kelch-like protein 10;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]"
"1"	9.26	"GO:0035846"	"oviduct epithelium development"	"The progression of the oviduct epithelium over time from its initial formation to the mature structure. An oviduct is a tube through which an ova passes from the ovary to the uterus, or from the ovary to the outside of the organism. The oviduct epithelium is the specialized epithelium that lines the oviduct."	"0% (0/6)"	1	0	NA	NA	"66.667% (4/6)"	1.895876e-05	4.72	"Pocillopora_acuta_HIv2___RNAseq.g21562.t1;Pocillopora_acuta_HIv2___RNAseq.g8821.t1;Pocillopora_acuta_HIv2___RNAseq.g9085.t1;Pocillopora_acuta_HIv2___TS.g23391.t1"	"CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);Complement C3 [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc) (Neutrophil chemotactic factor-2) (ENCF-2); Complement C3 alpha chain; C3a anaphylatoxin (Neutrophil chemotactic factor-1) (ENCF-1); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b (Complement C3b-alpha' chain); Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2];CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)"
"1"	8.28	"GO:0060740"	"prostate gland epithelium morphogenesis"	"The process in which the anatomical structures of epithelia of the prostate gland are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."	"8.333% (1/12)"	0.6083251	0.22	NA	NA	"25% (3/12)"	0.006897149	2.16	"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)"
"1"	9.45	"GO:0060739"	"mesenchymal-epithelial cell signaling involved in prostate gland development"	"Any process that mediates the transfer of information from a mesenchymal cell to an epithelial cell where it is received and interpreted contributing to the progression of the prostate gland over time."	"20% (1/5)"	0.3232155	0.49	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)"
"1"	9.11	"GO:0043049"	"otic placode formation"	"The initial developmental process that will lead to the formation of the vertebrate inner ear. The otic placode forms as a thickening of the head ectoderm adjacent to the developing hindbrain."	"28.571% (2/7)"	0.0918625	1.04	NA	NA	"42.857% (3/7)"	0.001246142	2.9	"Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1"	"Protein Wnt-8b;Protein Wnt-8b;Protein Wnt-8b"
"1"	4.5	"GO:0002009"	"morphogenesis of an epithelium"	"The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."	"8.239% (29/352)"	0.32711	0.49	NA	NA	"8.807% (31/352)"	0.00990497	2	"Pocillopora_acuta_HIv2___RNAseq.g17508.t1b;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g21562.t1;Pocillopora_acuta_HIv2___RNAseq.g22638.t1;Pocillopora_acuta_HIv2___RNAseq.g25739.t1;Pocillopora_acuta_HIv2___RNAseq.g26050.t1;Pocillopora_acuta_HIv2___RNAseq.g26270.t1a;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g29895.t1;Pocillopora_acuta_HIv2___RNAseq.g3088.t1;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___RNAseq.g9085.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g12304.t1;Pocillopora_acuta_HIv2___TS.g17199.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g23391.t1;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g30706.t1;Pocillopora_acuta_HIv2___TS.g568.t1;Pocillopora_acuta_HIv2___TS.g7543.t1"	"Collagen triple helix repeat-containing protein 1;Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);Collagen alpha-1(IV) chain (Collagen type IV alpha 1);Ephrin-B2 (ELF-2) (EPH-related receptor tyrosine kinase ligand 5) (LERK-5) (HTK ligand) (HTK-L);Secreted frizzled-related protein 3 (sFRP-3) (Frizzled-related protein 1) (FrzB-1);Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (BSC2) (Na-K-2Cl cotransporter 1) (mNKCC1);Protein Wnt-7a;Protein Wnt-8b;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Heart- and neural crest derivatives-expressed protein 2 (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND);Nephrocystin-3;Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339);Frizzled-5 (Fz-5);Frizzled-5 (Fz-5) (hFz5) (FzE5);Homeobox protein SIX4 (Sine oculis homeobox homolog 4) (Skeletal muscle-specific ARE-binding protein AREC3);Roundabout homolog 1;Protein jagged-1 (Jagged1) (CD antigen CD339);CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69);Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha);Protein Wnt-8b;Protein Wnt-8b;CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J);Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito];Kinesin-like protein KIF3A (Microtubule plus end-directed kinesin motor 3A);SH3 domain-containing protein Dlish (Dachs ligand with SH3 domains)"
"1"	8.86	"GO:0042067"	"establishment of ommatidial planar polarity"	"The specification of polarized ommatidia. Ommatidia occur in two chiral forms. The trapezoidal arrangement of photoreceptors in the dorsal part of the eye is the mirror image of that in the ventral part."	"0% (0/7)"	1	0	NA	NA	"42.857% (3/7)"	0.001246142	2.9	"Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g30706.t1"	"Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]"
"1"	7.42	"GO:0007476"	"imaginal disc-derived wing morphogenesis"	"The process in which the anatomical structures of the imaginal disc-derived wing are generated and organized. The wing is an appendage modified for flying."	"4.348% (1/23)"	0.8343063	0.08	NA	NA	"17.391% (4/23)"	0.007065959	2.15	"Pocillopora_acuta_HIv2___RNAseq.g12374.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g30706.t1"	"Tissue inhibitor of metalloproteinase;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]"
"1"	9.45	"GO:0060447"	"bud outgrowth involved in lung branching"	"The process in which a region of the lung epithelium initiates an outgrowth."	"20% (1/5)"	0.3232155	0.49	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)"
"1"	9.45	"GO:0060745"	"mammary gland branching involved in pregnancy"	"The process in which the branching structure of the mammary gland duct is generated and organized as a part of pregnancy."	"0% (0/5)"	1	0	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g21562.t1;Pocillopora_acuta_HIv2___RNAseq.g9085.t1;Pocillopora_acuta_HIv2___TS.g23391.t1"	"CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)"
