"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1664 0.0346113654923485 3 10 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.301423845631333
-495 0.412816535858224 5 17 "GO:0000030" "mannosyltransferase activity" 0.798293417459479
315 0.738082930938633 3 7 "GO:0000048" "peptidyltransferase activity" 0.900282268273841
227 0.503796439032753 3 54 "GO:0000049" "tRNA binding" 0.831566039605377
-1149 0.0961736792717507 2 13 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 0.463204417755468
-1228 0.0365065939446095 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.302906115489626
64 0.905675135381994 2 21 "GO:0000146" "microfilament motor activity" 0.971468413474671
-154 0.588916929559365 3 77 "GO:0000149" "SNARE binding" 0.850408034414605
-405 0.350895345733804 2 33 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.763841788538002
63 0.939261426389743 2 9 "GO:0000182" "rDNA binding" 0.979279323137713
-553 0.346557414371272 2 18 "GO:0000217" "DNA secondary structure binding" 0.75934877473242
-989 0.374422521663844 5 5 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 0.781789489170328
-303 0.143226493454107 5 147 "GO:0000287" "magnesium ion binding" 0.538088192099419
-722 0.516733525648331 3 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.835459475229139
-812 0.302433893274628 2 10 "GO:0000339" "RNA cap binding" 0.725086832289179
-64 0.949811654632795 2 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.980032934552929
-30 0.969518278412217 3 10 "GO:0000400" "four-way junction DNA binding" 0.986908740805261
-821 0.460890348854621 6 5 "GO:0000405" "bubble DNA binding" 0.817013191483215
131 0.889594291020693 3 7 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.964364393799892
129 0.890915387074137 2 7 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.964874965962925
-198 0.176060314919614 2 300 "GO:0000977;GO:0000978;GO:0000987" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.589613583409362
-2325 0.036708349051206 3 5 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.302906115489626
-76 0.604145899280416 2 300 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.855414479649892
175 0.720271870027023 3 26 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.897359669206154
-459 0.602018996770883 2 8 "GO:0000995" "RNA polymerase III general transcription initiation factor activity" 0.855414479649892
-1102 0.110517384502263 2 13 "GO:0001046" "core promoter sequence-specific DNA binding" 0.4925663989401
-663 0.356295159287268 5 12 "GO:0001091;GO:0001094" "RNA polymerase II general transcription initiation factor binding" 0.765343572149182
-197 0.635511733126395 4 36 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.866918273601919
-434 0.644487527097012 6 7 "GO:0001163" "RNA polymerase I transcription regulatory region sequence-specific DNA binding" 0.869477671237327
-382 0.731646000413807 2 5 "GO:0001164" "RNA polymerase I core promoter sequence-specific DNA binding" 0.897359669206154
-228 0.60520861606626 4 32 "GO:0001221" "transcription coregulator binding" 0.855414479649892
130 0.835212427221315 2 16 "GO:0001222" "transcription corepressor binding" 0.94137646960893
-364 0.584748059734725 5 14 "GO:0001223" "transcription coactivator binding" 0.850408034414605
-158 0.685513982530157 2 41 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.889209565910547
-177 0.482902459927665 2 98 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.827142304213732
-909 0.111555621524643 3 19 "GO:0001409;GO:0015132;GO:0071714;GO:0015143;GO:1901702;GO:0015431;GO:0015432;GO:0015125;GO:0033285;GO:0034040;GO:0033284;GO:0033283" "prostaglandin transmembrane transporter activity" 0.4925663989401
381 0.73191652617962 3 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.897359669206154
621 0.480442325099017 3 8 "GO:0001530" "lipopolysaccharide binding" 0.826215210586946
979 0.265826078804448 5 8 "GO:0001537" "dermatan 4-sulfotransferase" 0.695240266247516
427 0.297738468309626 3 37 "GO:0001540" "amyloid-beta binding" 0.722079404981678
346 0.676938891423249 3 9 "GO:0001594" "trace-amine receptor activity" 0.886965762666601
