File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
trimmed_V3_LCM_11_S3_pe.bam	148474696	42125183	99323426	7025658	429	39110216	3014967	127604787	2485485	15572725	3709711	17829237	17160161	70847468
trimmed_V3_LCM_12_S4_pe.bam	132759959	40845550	84653929	7260300	180	37162811	3682739	149306484	3198394	18105877	4148676	21134545	19267031	83451961
trimmed_V3_LCM_17_S7_pe.bam	200732890	55851943	136140542	8739952	453	51740391	4111552	176351943	4899971	20439448	6476209	23854155	27220408	93461752
trimmed_V3_LCM_18_S8_pe.bam	210870236	76904391	122057662	11907363	820	70860323	6044068	261229063	7674308	30488439	9301616	36123428	38003887	139637385
trimmed_V3_LCM_1_S1_pe.bam	145474808	49065059	88211903	8197268	578	45263981	3801078	163398268	2012804	21787216	2620943	25660282	12005866	99311157
trimmed_V3_LCM_24_S5_pe.bam	180902919	104600443	58043820	18257604	1052	91405247	13195196	556534005	4854481	78887503	4451257	93344169	19213106	355783489
trimmed_V3_LCM_25_S6_pe.bam	161009075	72681599	75844690	12482091	695	65729429	6952170	294852516	3606636	40155586	3916146	47475771	17097816	182600561
trimmed_V3_LCM_32_S9_pe.bam	203757820	57396337	136859079	9501736	668	54122662	3273675	135896777	3117453	14715566	4741718	16703862	28213999	68404179
trimmed_V3_LCM_33_S10_pe.bam	167013283	25611038	136990821	4411203	221	23821578	1789460	71214781	2133711	4854926	3838704	5115230	28223724	27048486
trimmed_V3_LCM_3_S2_pe.bam	125212287	41317458	76890874	7003628	327	38020272	3297186	130504993	4929217	13635308	6472949	15705167	27876590	61885762
