#Duplication rate	Coverage
1.0	1817866.0
2.0	1087714.0
3.0	396620.0
4.0	175480.0
5.0	61981.0
6.0	19265.0
7.0	7681.0
8.0	3826.0
9.0	2197.0
10.0	1441.0
11.0	1028.0
12.0	871.0
13.0	607.0
14.0	524.0
15.0	406.0
16.0	333.0
17.0	278.0
18.0	275.0
19.0	242.0
20.0	192.0
21.0	156.0
22.0	130.0
23.0	131.0
24.0	113.0
25.0	91.0
26.0	80.0
27.0	86.0
28.0	69.0
29.0	77.0
30.0	62.0
31.0	59.0
32.0	57.0
33.0	43.0
34.0	35.0
35.0	38.0
36.0	51.0
37.0	33.0
38.0	31.0
39.0	28.0
40.0	17.0
41.0	27.0
42.0	21.0
43.0	33.0
44.0	23.0
45.0	25.0
46.0	23.0
47.0	21.0
48.0	19.0
49.0	14.0
50.0	575.0
