chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_starts	e2_ends	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e2_conf	LCM_4:sum_e2_conf	LCM_4:num_e2	LCM_4:e2e3_conf	LCM_4:e1e3_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e2_conf	LCM_5:sum_e2_conf	LCM_5:num_e2	LCM_5:e2e3_conf	LCM_5:e1e3_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e2_conf	LCM_8:sum_e2_conf	LCM_8:num_e2	LCM_8:e2e3_conf	LCM_8:e1e3_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e2_conf	LCM_9:sum_e2_conf	LCM_9:num_e2	LCM_9:e2e3_conf	LCM_9:e1e3_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e2_conf	LCM_15:sum_e2_conf	LCM_15:num_e2	LCM_15:e2e3_conf	LCM_15:e1e3_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e2_conf	LCM_16:sum_e2_conf	LCM_16:num_e2	LCM_16:e2e3_conf	LCM_16:e1e3_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e2_conf	LCM_20:sum_e2_conf	LCM_20:num_e2	LCM_20:e2e3_conf	LCM_20:e1e3_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e2_conf	LCM_21:sum_e2_conf	LCM_21:num_e2	LCM_21:e2e3_conf	LCM_21:e1e3_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e2_conf	LCM_26:sum_e2_conf	LCM_26:num_e2	LCM_26:e2e3_conf	LCM_26:e1e3_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e2_conf	LCM_27:sum_e2_conf	LCM_27:num_e2	LCM_27:e2e3_conf	LCM_27:e1e3_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	mult_exon_skip.1	2	Pocillopora_acuta_HIv2___TS.g10640.t1	5547252	5547428	5547969:5548421	5548142:5548488	5549091	5550026	9.6	0.0	0.0	0	0	2	0	0	nan	6.0	0.0	4.3	0	0	2	0	9	0.00	27.2	91.7	23.2	75	98	2	72	0	1.00	0.0	0.0	0.1	0	0	2	0	0	nan	0.0	13.2	8.5	0	25	2	16	0	1.00	0.0	0.0	0.1	0	0	2	0	0	nan	2.4	0.0	3.8	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	7.3	5.8	10.9	0	6	2	0	18	0.10	0.0	0.0	0.4	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	mult_exon_skip.7	2	Pocillopora_acuta_HIv2___RNAseq.g28039.t1	7453037	7453145	7453365:7454464	7453471:7454737	7458472	7458639	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	22.6	0	0	2	0	0	nan	49.3	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	160.3	84.0	48.5	68	69	2	56	0	1.00	105.4	0.1	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	91.6	40.0	76.8	0	0	2	19	20	0.24	0.0	0.0	21.3	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	mult_exon_skip.8	2	Pocillopora_acuta_HIv2___TS.g11388.t2	14608506	14608538	14609242:14610118:14610701:14611517:14612162:14612549:14612946:14613360	14609361:14610144:14610718:14611645:14612188:14612569:14613074:14613392	14614186	14614305	0.0	0.0	0.0	0	0	8	0	0	nan	49.7	16.3	12.2	0	79	8	15	0	1.00	0.0	0.0	0.0	0	0	8	0	0	nan	0.0	0.0	0.0	0	0	8	0	0	nan	84.5	0.2	3.8	3	0	8	0	14	0.02	0.0	0.0	0.0	0	0	8	0	0	nan	60.9	18.5	0.0	62	0	8	0	0	1.00	77.2	50.9	30.7	0	238	8	52	0	1.00	39.7	11.9	0.0	0	50	8	0	0	1.00	0.0	0.0	0.0	0	0	8	0	0	nan
Pocillopora_acuta_HIv2___Sc0000001	-	mult_exon_skip.14	2	Pocillopora_acuta_HIv2___RNAseq.g10169.t1	345810	345881	346396:347053	346524:347199	347544	347597	6.6	0.0	0.0	0	0	2	0	0	nan	78.0	9.2	53.8	14	15	2	0	57	0.14	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	1.4	0.0	0	0	2	0	0	nan	87.2	0.0	52.9	0	0	2	0	68	0.00	39.8	0.0	56.8	0	0	2	0	53	0.00	0.0	0.0	0.0	0	0	2	0	0	nan	137.4	17.5	118.7	0	15	2	11	106	0.08	0.0	0.0	0.0	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000001	-	mult_exon_skip.17	2	Pocillopora_acuta_HIv2___RNAseq.g10749.t1	6985709	6985801	6987006:6987243	6987032:6987293	6987423	6987543	44.1	18.4	33.0	14	19	2	17	0	1.00	199.7	183.0	196.0	39	175	2	170	16	0.89	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	187.4	158.9	138.6	73	159	2	143	0	1.00	24.5	0.0	2.8	0	0	2	0	0	nan	125.8	67.7	87.9	28	66	2	49	0	1.00	29.9	38.2	37.3	0	33	2	43	0	1.00	309.0	302.7	282.0	74	281	2	295	0	1.00	93.0	53.7	62.5	0	47	2	54	0	1.00
Pocillopora_acuta_HIv2___Sc0000002	+	mult_exon_skip.21	2	Pocillopora_acuta_HIv2___RNAseq.g24790.t1	1643392	1643430	1644505:1645690	1644575:1645789	1646922	1646992	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	1.5	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	12.8	37.9	0	0	2	31	0	1.00	0.0	18.8	97.4	0	0	2	62	0	1.00	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	37.5	25.3	68.0	12	20	2	46	26	0.50	0.0	0.0	0.0	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000002	+	mult_exon_skip.22	2	Pocillopora_acuta_HIv2___RNAseq.g24790.t1	1644505	1644575	1645690:1646922	1645789:1646992	1648102	1648311	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.6	3.8	0	0	2	2	0	nan	0.0	0.0	0.7	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	28.5	38.6	0	31	2	39	0	1.00	2.0	58.4	36.8	0	62	2	86	0	1.00	0.0	0.0	21.2	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	16.1	46.8	91.4	20	46	2	63	7	0.86	0.0	0.0	14.0	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	+	mult_exon_skip.26	2	Pocillopora_acuta_HIv2___TS.g8089.t1	3664662	3664724	3664951:3665663	3665001:3665725	3665968	3666018	0.0	0.0	0.0	0	0	2	0	0	nan	8.8	13.5	10.3	10	7	2	12	0	1.00	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	76.1	61.6	67.1	54	20	2	41	21	0.65	0.0	0.0	0.0	0	0	2	0	0	nan	3.5	2.2	0.0	3	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	49.5	41.9	32.4	37	44	2	30	0	1.00	0.0	0.0	0.0	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	+	mult_exon_skip.28	0	Pocillopora_acuta_HIv2___TS.g8089.t1	3664951	3665001	3665663:3665968	3665725:3666018	3669330	3669392	0.0	0.0	0.0	0	0	2	0	0	nan	9.1	14.0	24.7	7	12	2	8	0	1.00	0.0	0.0	0.0	0	0	2	0	0	nan	0.0	0.0	0.0	0	0	2	0	0	nan	55.2	66.9	123.9	20	41	2	60	27	0.60	0.0	0.0	0.0	0	0	2	0	0	nan	4.4	0.3	7.0	0	0	2	0	3	nan	0.0	0.0	0.0	0	0	2	0	0	nan	40.0	38.5	61.4	44	30	2	26	0	1.00	0.0	0.0	0.0	0	0	2	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	+	mult_exon_skip.30	2	Pocillopora_acuta_HIv2___TS.g8089.t1	3665663	3665725	3665968:3666680:3666981:3667692:3668008:3668324	3666018:3666742:3667031:3667754:3668070:3668386	3668619	3668669	0.0	0.0	0.0	0	0	6	0	0	nan	17.0	18.8	24.8	12	19	6	14	6	0.52	0.0	0.0	0.0	0	0	6	0	0	nan	0.0	0.0	0.0	0	0	6	0	0	nan	66.8	111.1	132.2	41	200	6	131	0	1.00	0.0	0.0	0.0	0	0	6	0	0	nan	0.5	5.0	0.0	0	11	6	0	0	1.00	0.0	0.0	0.0	0	0	6	0	0	nan	43.4	44.2	43.9	30	69	6	29	0	1.00	0.0	0.0	0.0	0	0	6	0	0	nan
