chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e3_conf	LCM_4:e2_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e3_conf	LCM_5:e2_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e3_conf	LCM_8:e2_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e3_conf	LCM_9:e2_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e3_conf	LCM_15:e2_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e3_conf	LCM_16:e2_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e3_conf	LCM_20:e2_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e3_conf	LCM_21:e2_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e3_conf	LCM_26:e2_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e3_conf	LCM_27:e2_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.2	1	Pocillopora_acuta_HIv2___TS.g10300.t1	2211552	2211780	2213316	2213319	2213320	2213375	0.0	0.0	0.0	0	0	nan	64.2	30.5	79.2	38	26	0.41	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	28.8	34.0	36.9	0	34	1.00	0.2	0.0	0.0	0	0	nan	89.8	86.0	85.8	0	88	1.00	71.7	102.8	123.5	0	104	1.00	59.6	118.5	116.9	0	120	1.00	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.3	2	Pocillopora_acuta_HIv2___TS.g10450.t1	3953752	3953772	3954419	3954435	3954436	3954526	1563.6	0.0	1755.7	1562	0	0.00	961.5	26.1	940.2	947	0	0.00	462.3	0.0	464.7	458	0	0.00	225.2	197.4	807.8	279	0	0.00	525.2	59.9	636.6	510	0	0.00	807.8	76.5	1071.2	824	0	0.00	810.3	43.0	877.9	793	0	0.00	644.0	122.8	811.5	557	0	0.00	1013.6	112.2	1090.6	903	46	0.05	1476.1	243.9	1689.3	1472	0	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.5	0	Pocillopora_acuta_HIv2___TS.g10619.t1	5176802	5176938	5178421	5178424	5178425	5178598	87.0	0.0	106.7	122	0	0.00	0.0	0.0	0.0	0	0	nan	41.5	46.0	63.3	70	0	0.00	0.0	0.0	0.0	0	0	nan	96.9	26.0	81.2	82	26	0.24	0.0	0.0	0.0	0	0	nan	36.8	0.0	24.8	46	0	0.00	0.0	0.0	0.0	0	0	nan	30.4	0.0	58.7	54	0	0.00	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.9	1	Pocillopora_acuta_HIv2___TS.g10636.t2	5466743	5466815	5466991	5466995	5466996	5467157	144.1	135.4	74.2	0	134	1.00	12.5	14.0	7.9	0	14	1.00	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	96.5	91.0	48.3	0	93	1.00	137.3	134.4	93.5	0	138	1.00	51.6	63.2	41.2	0	64	1.00	0.0	0.0	0.0	0	0	nan	35.7	32.0	28.2	3	31	0.91	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.10	2	Pocillopora_acuta_HIv2___RNAseq.g27877.t1	5520733	5520903	5521241	5521336	5521337	5521383	0.0	0.0	0.0	0	0	nan	80.9	28.3	40.9	33	28	0.46	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	19.1	0.0	12.6	17	0	0.00	39.8	52.1	51.2	22	0	0.00	0.0	0.0	0.0	0	0	nan	48.5	22.6	19.9	0	36	1.00	54.7	4.3	25.4	44	0	0.00	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.15	1	Pocillopora_acuta_HIv2___RNAseq.g27944.t1	6267270	6267384	6267800	6267855	6267856	6267934	0.0	0.0	0.0	0	0	nan	87.5	93.7	103.0	0	96	1.00	65.1	102.7	114.1	0	104	1.00	0.0	0.0	0.0	0	0	nan	205.3	170.2	200.9	42	155	0.79	0.0	0.0	0.0	0	0	nan	55.1	75.3	65.8	0	68	1.00	0.0	0.2	21.6	0	0	nan	142.9	179.8	184.7	0	172	1.00	6.2	4.5	8.1	0	6	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.18	1	Pocillopora_acuta_HIv2___RNAseq.g27965.t1	6652768	6652908	6653022	6653022	6653023	6653141	330.6	385.0	455.1	0	374	1.00	1628.3	1721.0	1836.2	13	1696	0.99	1005.0	1006.0	1017.9	0	988	1.00	523.1	512.0	577.5	0	502	1.00	796.6	914.0	964.1	0	910	1.00	197.3	208.0	216.2	0	204	1.00	794.4	856.0	850.6	0	847	1.00	407.2	435.0	434.4	0	421	1.00	772.8	833.0	901.8	0	766	1.00	785.1	802.0	796.7	0	791	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.21	0	Pocillopora_acuta_HIv2___TS.g10998.t1	9690743	9690811	9690946	9691097	9691098	9691145	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	57.8	17.9	31.5	0	0	nan	0.0	0.0	0.0	0	0	nan	19.4	0.7	13.6	0	0	nan	0.0	0.0	0.0	0	0	nan	65.0	48.3	47.5	18	56	0.76	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.22	1	Pocillopora_acuta_HIv2___TS.g11111.t2	11352811	11352889	11353264	11353301	11353302	11353385	518.1	559.3	616.8	0	517	1.00	152.7	178.3	207.8	0	176	1.00	0.0	0.0	0.5	0	0	nan	0.8	2.0	3.8	0	1	nan	31.3	24.9	17.4	0	27	1.00	349.7	352.1	503.6	48	324	0.87	14.5	27.7	41.6	0	13	1.00	352.2	415.3	459.8	0	392	1.00	68.4	70.8	96.3	0	67	1.00	621.8	633.3	634.8	0	637	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_3prime.24	2	Pocillopora_acuta_HIv2___TS.g11126.t1	11482521	11482600	11482986	11483041	11483042	11483119	0.0	0.0	0.0	0	0	nan	148.3	21.3	133.8	125	15	0.11	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	199.3	0.1	253.9	236	0	0.00	0.0	0.0	0.0	0	0	nan	176.6	0.1	167.3	172	0	0.00	11.4	0.0	50.2	36	0	0.00	36.9	0.1	49.3	41	0	0.00	74.2	0.0	77.4	78	0	0.00
