"","hit_name","NonDE_Oral","DE_Oral","Background","p_value_Oral","padj_Oral","DE_ratio_Oral","Background_ratio_Oral","enrichment_ratio_Oral","NonDE_Aboral","DE_Aboral","p_value_Aboral","padj_Aboral","DE_ratio_Aboral","Background_ratio_Aboral","enrichment_ratio_Aboral","nonDE_Oral","nonDE_Aboral"
"1","ZP-C domain",3,17,20,1.34259081951949e-16,4.71920673061099e-14,0.0200471698113208,0.00185683780521771,10.7964033018868,19,1,0.509932930448937,0.56805028649275,0.0026525198938992,0.00185683780521771,1.42851458885942,2,2
"2","ZP-N domain",3,17,20,1.34259081951949e-16,4.71920673061099e-14,0.0200471698113208,0.00185683780521771,10.7964033018868,NA,0,NA,1,0,NA,0,3,3
"3","B-box zinc finger",17,9,26,0.000102126482023307,0.0239316389541282,0.0106132075471698,0.00241388914678303,4.39672532656023,NA,0,NA,1,0,NA,0,17,17
"4","EPTP domain",3,5,8,0.000136904921052624,0.0240610398749986,0.00589622641509434,0.000742735122087086,7.93853183962264,NA,0,NA,1,0,NA,0,3,3
"5","Mucin-4-like C8-3 domain",7,6,13,0.000247882350728278,0.0337502595899358,0.00707547169811321,0.00120694457339151,5.86230043541364,12,1,0.370881055520105,0.451313091656996,0.0026525198938992,0.00120694457339151,2.19771475209141,6,6
"6","PLAC8 family",4,5,9,0.000288053424665171,0.0337502595899358,0.00589622641509434,0.000835577012347971,7.05647274633124,8,1,0.274416326136426,0.364684854470777,0.0026525198938992,0.000835577012347971,3.17447686413204,3,3
"7","ATP:guanido phosphotransferase, C-terminal catalytic domain",2,4,6,0.000503085811218726,0.0363957416681463,0.00471698113207547,0.000557051341565314,8.46776729559748,NA,0,NA,1,0,NA,0,2,2
"8","Bacterial protein of unknown function (DUF885)",13,7,20,0.000569492401635291,0.0363957416681463,0.00825471698113208,0.00185683780521771,4.44557783018868,16,4,0.0045851070156879,0.0262129702972346,0.0106100795755968,0.00185683780521771,5.71405835543767,9,9
"9","EGF-like domain",28,10,38,0.000536443009205808,0.0363957416681463,0.0117924528301887,0.00352799182991366,3.34253972194638,35,3,0.146720971142785,0.244266232177274,0.00795755968169761,0.00352799182991366,2.25554935083066,25,25
"10","Nidogen-like",8,6,14,0.000405012463115623,0.0363957416681463,0.00707547169811321,0.0012997864636524,5.44356469002695,13,1,0.392927703788271,0.457911900953254,0.0026525198938992,0.0012997864636524,2.04073512694202,7,7
"11","PHD-like zinc-binding domain",5,5,10,0.000538809382033609,0.0363957416681463,0.00589622641509434,0.000928418902608857,6.35082547169811,NA,0,NA,1,0,NA,0,5,5
"12","C2 domain",54,14,68,0.000704133189488452,0.0412504693508651,0.0165094339622642,0.00631324853774023,2.61504578246393,66,2,0.693556312975724,0.74520412351647,0.00530503978779841,0.00631324853774023,0.840302699329068,52,52
"13","NedA-like, galactose-binding domain",6,5,11,0.000923996258281194,0.0472912587364221,0.00589622641509434,0.00102126079286974,5.77347770154374,10,1,0.324363562267404,0.411222424129805,0.0026525198938992,0.00102126079286974,2.59729925247167,5,5
"14","Sulfotransferase domain",10,6,16,0.000941788936429458,0.0472912587364221,0.00707547169811321,0.00148547024417417,4.76311910377358,NA,0,NA,1,0,NA,0,10,10
"15","Calcium-binding EGF domain",37,11,48,0.00101955800428152,0.0477832851339938,0.0129716981132075,0.00445641073252251,2.91079500786164,37,11,5.88333843724097e-07,1.62059231498547e-05,0.0291777188328912,0.00445641073252251,6.54735853227233,26,26
"16","BCCT, betaine/carnitine/choline family transporter",1,3,4,0.00183112957695948,0.0804552557876569,0.0035377358490566,0.000371367561043543,9.52623820754717,3,1,0.132842529964123,0.223618258772941,0.0026525198938992,0.000371367561043543,7.14257294429708,0,0
"17","Fibronectin type III domain",84,17,101,0.00215995119727453,0.0859082690125839,0.0200471698113208,0.00937703091634946,2.13790164393798,85,16,3.89805937964433e-07,1.18111199203223e-05,0.0424403183023873,0.00937703091634946,4.52598681618825,68,68
"18","Ion channel",23,8,31,0.00219964273431936,0.0859082690125839,0.00943396226415094,0.00287809859808746,3.27784540474741,NA,0,NA,1,0,NA,0,23,23
"19","Neurotransmitter-gated ion-channel transmembrane region",13,6,19,0.00260054202953026,0.0962200550926198,0.00707547169811321,0.00176399591495683,4.01104766633565,NA,0,NA,1,0,NA,0,13,13
"20","6-bladed beta-propeller",0,2,2,0.006191666177458,0.142176092495838,0.00235849056603774,0.000185683780521771,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"21","7 transmembrane sweet-taste receptor of 3 GCPR",11,5,16,0.00626950052257609,0.142176092495838,0.00589622641509434,0.00148547024417417,3.96926591981132,15,1,0.434736012822284,0.500855558498677,0.0026525198938992,0.00148547024417417,1.78564323607427,10,10
